hashtag,trend,201512,201601,201602,201603,201604,201605,20160601,20160623,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,re201512,re201601,re201602,re201603,re201604,re201605,re20160601,re20160623,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812
#standup4brexit,0.989419309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,124,119,148,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053,14090,13147,38395,16945
#stopbrexit,0.101114223,0,0,0,0,0,0,0,0,0,1,1,10,7,3,8,6,41,111,28,39,392,330,275,257,908,1444,1562,1220,1135,1207,1023,764,702,582,486,493,433,529,0,0,0,0,0,0,0,0,0,76,22,743,230,52,1019,243,2415,10777,2109,4394,37768,29253,27692,23520,108238,160090,207956,146780,147799,146136,117049,110996,79232,75203,46915,51072,46995,84061
#stoptheeu,0.782300992,0,8,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,1022,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#strongerin,0.365010868,0,7,63,249,385,712,516,83,18,29,5,0,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,177,2264,18954,15535,34450,24288,2914,349,871,71,0,39,56,132,0,0,0,0,0,0,0,66,0,0,0,0,26,0,42,0,0,0,0,0,0,0,0
#supremecourt,0.365026373,0,0,0,0,0,0,0,1,0,0,0,0,6,47,59,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,153,0,0,0,0,590,4537,4181,0,27,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,53,0,24,0,0,116
#takecontrol,0.945599989,0,1,2,4,19,90,113,26,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,32,114,270,770,4198,5980,3025,40,0,0,58,0,0,0,0,255,41,0,0,0,0,0,0,0,0,0,0,0,0,176,0,164,0,0,0,0,0
#theresamay,0.497079479,0,0,0,0,1,0,0,2,95,13,16,47,28,37,116,32,82,66,56,45,11,9,33,19,6,62,27,28,73,27,38,27,95,50,39,54,133,327,0,0,0,0,32,0,0,72,4816,286,643,2956,5016,2897,14121,1981,8596,6815,4532,3359,890,906,3426,2044,969,7204,4482,2321,8863,3964,5430,4115,11379,8398,6082,7486,22130,16382
#tories,0.483222322,0,0,2,0,1,3,3,1,8,5,2,8,15,2,22,11,6,30,20,27,15,24,18,3,34,27,38,16,55,21,31,26,37,31,24,17,24,44,0,0,29,0,18,134,71,13,264,77,35,209,1488,152,577,817,202,3189,1042,1939,1030,3603,1353,328,4583,3030,4318,1647,5679,1855,3238,2400,3114,8175,1840,1736,2180,3093
#trump,0.729931111,0,0,2,2,16,10,14,179,37,50,22,45,341,67,208,115,71,48,27,18,11,14,27,4,20,32,28,11,40,20,19,10,90,16,15,20,31,29,0,0,132,53,655,563,565,9788,1048,2439,540,1704,20658,3040,15215,6906,5448,4687,1697,494,258,514,1576,226,3183,9920,5747,606,9097,2827,1479,2744,10569,3108,2287,8241,2425,1848
#ttip,0.516167103,0,4,8,12,97,87,15,16,22,8,3,3,5,1,5,3,1,1,2,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,134,183,402,4001,2796,393,661,1011,248,115,117,126,33,233,108,341,14,47,0,19,0,0,0,0,0,0,185,0,97,0,36,0,0,0,0,0,0
#voteleave,0.964426011,0,55,153,314,529,1347,2309,489,97,37,28,17,24,3,5,7,1,2,0,0,5,0,0,1,1,3,0,0,7,20,10,6,46,13,8,2,4,2,0,2784,11459,21813,22619,69355,124140,24939,3430,951,688,767,1219,90,299,901,46,176,0,0,368,0,0,10,27,93,0,0,505,2441,1133,410,10901,2013,2497,675,587,1014
#voteout,0.951728197,0,0,0,0,3,87,520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4147,23701,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#voteremain,0.291497894,0,0,5,0,1,19,528,117,4,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,9,8,0,8,6,1,0,0,0,0,0,0,0,147,0,15,4068,30774,4942,84,0,0,0,0,0,292,680,70,29,0,0,0,0,0,0,0,0,626,686,0,326,262,41,0,0,0,0,0,0
#waton,0.092678788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,460,211,178,118,27,41,52,29,23,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66645,47900,28591,12204,12220,3028,3219,3514,1921,4267,2022,4702
#windrush,0.488002539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,17,3,1,0,5,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13402,2251,154,202,0,481,13,736,705
#yeseu,0.049407894,0,0,0,0,0,0,2,0,0,0,166,220,150,102,143,135,132,90,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,5083,7586,5968,4774,10842,10486,13194,9766,399,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
